program,program_name,program_order,Patient,CellType,n_cells,mean_raw_ucell,median_raw_ucell
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL007","Tregs",135,0.35412800041621,0.340550279414908
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","B cells",462,0.438091516793382,0.449170916419825
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","Monocytes and Macrophages",292,0.773014499707387,0.797095917183254
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","NK cells",17,0.414148399763607,0.406418908602315
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","Others",0,NA,NA
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","Plasma cells",37,0.459757815653012,0.463340153296485
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","T cells CD4",437,0.378707180122147,0.380126423794546
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","T cells CD8",1605,0.5516465088191,0.557302959049684
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","TFH",0,NA,NA
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL008","Tregs",150,0.503679013853686,0.507756435704034
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","B cells",496,0.509681107208048,0.51952850642807
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","Monocytes and Macrophages",46,0.676081512943104,0.687925611506398
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","NK cells",122,0.343104261333913,0.332267077900266
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","Others",41,0.592839262133117,0.599856475402327
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","Plasma cells",0,NA,NA
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","T cells CD4",966,0.303163579032195,0.296515711362873
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","T cells CD8",2399,0.406402252554488,0.404708828289614
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","TFH",72,0.448280885780886,0.433199987785141
"antigen_presentation","Immune-inflamed / antigen-presentation program",3,"DLBCL111","Tregs",258,0.405097999390677,0.392761168962042
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","B cells",1651,0.0386033022254553,0.0418816990869393
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","Monocytes and Macrophages",214,0.0773068603844428,0.078877454423306
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","NK cells",69,0.0385768272610878,0.0409503160594864
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","Others",0,NA,NA
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","Plasma cells",65,0.0483562792598735,0.0427214706690689
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","T cells CD4",1720,0.0508630028953477,0.0435765108254191
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","T cells CD8",1177,0.0472314728045937,0.0430573793019208
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","TFH",209,0.0320735030624084,0.0334687146914221
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL002","Tregs",429,0.037046828539179,0.0412098818212355
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","B cells",827,0.00853544685356411,0
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","Monocytes and Macrophages",15,0.0729664803900612,0.083183192353498
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","NK cells",5,0.0374660274223593,0.0391944300241244
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","Others",5,0.0334717684062662,0.0420649219775857
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","Plasma cells",0,NA,NA
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","T cells CD4",131,0.0301759475898614,0.0379424069380401
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","T cells CD8",302,0.0356305830148336,0.03907228143036
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","TFH",14,0.038002390622478,0.0411335389501328
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL007","Tregs",135,0.012093276285416,0
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","B cells",462,0.00910486232042405,0
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","Monocytes and Macrophages",292,0.0890737769139995,0.0871988273734999
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","NK cells",17,0.0304688889327985,0.0346138577579626
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","Others",0,NA,NA
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","Plasma cells",37,0.0321184775333247,0.0372858582465569
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","T cells CD4",437,0.0438124574654908,0.0424771734815403
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","T cells CD8",1605,0.0325538749976574,0.0363392066448836
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","TFH",0,NA,NA
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL008","Tregs",150,0.0341499984731426,0.0399502244480411
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","B cells",496,0.0132376999321287,0
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","Monocytes and Macrophages",46,0.0575114082803469,0.0489739518123798
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","NK cells",122,0.037198001368665,0.0384615384615385
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","Others",41,0.0476595510145409,0.0429810364308181
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","Plasma cells",0,NA,NA
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","T cells CD4",966,0.0424212045153757,0.0421259962744679
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","T cells CD8",2399,0.0455373165290507,0.0428436192628332
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","TFH",72,0.0453743854398876,0.0415457904540874
"stromal_fibrotic","Stromal / fibrotic program",4,"DLBCL111","Tregs",258,0.0393578274404922,0.0423015848780041
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","B cells",1651,0.0371070744326069,0.034201606254008
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","Monocytes and Macrophages",214,0.0645233536410127,0.0640898402907137
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","NK cells",69,0.0358222879582287,0.0329648517421444
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","Others",0,NA,NA
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","Plasma cells",65,0.0339864368080693,0.0332854918007757
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","T cells CD4",1720,0.0356931329054819,0.034797080648609
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","T cells CD8",1177,0.0393277219528551,0.0362781323480014
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","TFH",209,0.0389908977381032,0.0342932176993312
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL002","Tregs",429,0.0381196149358118,0.0361407151800165
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","B cells",827,0.0248532878335975,0.01047424191529
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","Monocytes and Macrophages",15,0.050169481173848,0.0546614957095306
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","NK cells",5,0.0628423977768956,0.0570586618621554
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","Others",5,0.0488869209393227,0.0482028888142425
"immune_cold_exclusion","Immune-cold / exclusion-associated program",5,"DLBCL007","Plasma cells",0,NA,NA
